tempo,potencia_PV,custo_energia
0,0,0.47
1,0,0.47
2,0,0.47
3,0,0.47
4,0,0.47
5,0,0.47
6,0,0.47
7,0,0.47
8,0,0.47
9,0,0.47
10,0,0.47
11,0,0.47
12,0,0.47
13,0,0.47
14,0,0.47
15,0,0.47
16,0,0.47
17,0,0.47
18,0,0.47
19,0,0.47
20,0,0.47
21,0,0.47
22,0,0.47
23,0,0.47
24,0,0.47
25,0,0.47
26,0,0.47
27,0,0.47
28,0,0.47
29,0,0.47
30,0,0.47
31,0,0.47
32,0,0.47
33,0,0.47
34,0,0.47
35,0,0.47
36,0.027027027,0.47
37,0.068033551,0.47
38,0.109040075,0.47
39,0.146318733,0.47
40,0.178005592,0.47
41,0.229263747,0.47
42,0.276794035,0.47
43,0.319664492,0.47
44,0.364398882,0.47
45,0.407269338,0.47
46,0.448275862,0.47
47,0.493010252,0.47
48,0.509785648,0.47
49,0.552656104,0.47
50,0.578751165,0.47
51,0.607642125,0.47
52,0.642124884,0.47
53,0.680335508,0.47
54,0.745573159,0.47
55,0.762348556,0.47
56,0.790307549,0.47
57,0.831314073,0.47
58,0.848089469,0.47
59,0.876048462,0.47
60,0.873252563,0.47
61,0.890959925,0.47
62,0.891891892,0.47
63,0.924510718,0.47
64,0.950605778,0.47
65,0.961789376,0.47
66,0.972972973,0.47
67,0.982292638,0.47
68,0.989748369,0.47
69,0.995340168,0.47
70,0.995340168,0.47
71,0.999068034,0.47
72,1,0.47
73,1,0.47
74,0.990680336,0.47
75,0.979496738,0.47
76,0.967381174,0.47
77,0.946877912,0.47
78,0.926374651,0.47
79,0.906803355,0.47
80,0.880708295,0.47
81,0.863000932,0.47
82,0.838769804,0.47
83,0.808014912,0.47
84,0.783783784,0.47
85,0.743709227,0.47
86,0.712954334,0.47
87,0.676607642,0.47
88,0.633737186,0.47
89,0.58527493,0.47
90,0.552656104,0.47
91,0.516309413,0.47
92,0.46971109,0.47
93,0.425908667,0.47
94,0.383970177,0.47
95,0.332712022,0.47
96,0.293569432,0.47
97,0.248835042,0.47
98,0.204100652,0.47
99,0.164026095,0.47
100,0.114631873,0.47
101,0.080149115,0.47
102,0.030754893,0.65
103,0.014911463,0.65
104,0,0.65
105,0,0.65
106,0,0.65
107,0,0.65
108,0,1
109,0,1
110,0,1
111,0,1
112,0,1
113,0,1
114,0,1
115,0,1
116,0,1
117,0,1
118,0,1
119,0,1
120,0,1
121,0,1
122,0,1
123,0,1
124,0,1
125,0,1
126,0,0.65
127,0,0.65
128,0,0.65
129,0,0.65
130,0,0.65
131,0,0.65
132,0,0.47
133,0,0.47
134,0,0.47
135,0,0.47
136,0,0.47
137,0,0.47
138,0,0.47
139,0,0.47
140,0,0.47
141,0,0.47
142,0,0.47
143,0,0.47
